=== checkpoint start：config跑法見PERF_LADDER/PERF_TICKS env，teams=101 ===
tick=0 dt_us=73 wall_so_far=0.0s teams=101
tick=1079 dt_us=3560628 wall_so_far=876.5s teams=160
tick=1089 dt_us=14754444 wall_so_far=891.3s teams=161
tick=1099 dt_us=11968423 wall_so_far=903.3s teams=161
tick=1109 dt_us=3776630 wall_so_far=907.0s teams=162
tick=1119 dt_us=3409864 wall_so_far=910.4s teams=162
tick=1129 dt_us=5070839 wall_so_far=915.5s teams=161
tick=1139 dt_us=3444241 wall_so_far=919.0s teams=161
tick=1149 dt_us=2666990 wall_so_far=921.6s teams=161
tick=1159 dt_us=4044124 wall_so_far=925.7s teams=161
tick=1169 dt_us=7142444 wall_so_far=932.8s teams=160
tick=1179 dt_us=6077510 wall_so_far=938.9s teams=161
tick=1189 dt_us=4234373 wall_so_far=943.1s teams=160
tick=1199 dt_us=31420370 wall_so_far=974.6s teams=161
tick=1209 dt_us=41627025 wall_so_far=1016.2s teams=166
tick=1219 dt_us=14636272 wall_so_far=1030.8s teams=165
tick=1229 dt_us=2765239 wall_so_far=1033.6s teams=165
tick=1239 dt_us=2059780 wall_so_far=1035.6s teams=165
tick=1249 dt_us=2395507 wall_so_far=1038.0s teams=165
tick=1259 dt_us=7131850 wall_so_far=1045.2s teams=165
tick=1269 dt_us=2332589 wall_so_far=1047.5s teams=165
tick=1279 dt_us=6817496 wall_so_far=1054.3s teams=165
tick=1289 dt_us=2815097 wall_so_far=1057.1s teams=165
tick=1299 dt_us=7825755 wall_so_far=1065.0s teams=164
tick=1309 dt_us=2517693 wall_so_far=1067.5s teams=164
tick=1319 dt_us=3126347 wall_so_far=1070.6s teams=164
tick=1329 dt_us=20588744 wall_so_far=1091.2s teams=164
tick=1339 dt_us=9924346 wall_so_far=1101.1s teams=164
tick=1349 dt_us=3431163 wall_so_far=1104.6s teams=164
tick=1359 dt_us=4505577 wall_so_far=1109.1s teams=163
tick=1369 dt_us=2361480 wall_so_far=1111.4s teams=163
tick=1379 dt_us=1889288 wall_so_far=1113.3s teams=164
tick=1389 dt_us=1313717 wall_so_far=1114.6s teams=163
tick=1399 dt_us=9039163 wall_so_far=1123.7s teams=162
tick=1409 dt_us=6058038 wall_so_far=1129.7s teams=162
tick=1419 dt_us=5020565 wall_so_far=1134.7s teams=162
tick=1429 dt_us=1085348 wall_so_far=1135.8s teams=163
tick=1439 dt_us=3606140 wall_so_far=1139.4s teams=162
tick=1449 dt_us=33949706 wall_so_far=1173.4s teams=165
tick=1459 dt_us=12078935 wall_so_far=1185.5s teams=166
tick=1469 dt_us=8522031 wall_so_far=1194.0s teams=166
tick=1479 dt_us=3220812 wall_so_far=1197.2s teams=166
tick=1489 dt_us=1675284 wall_so_far=1198.9s teams=166
tick=1499 dt_us=12529871 wall_so_far=1211.4s teams=166
tick=1500 dt_us=33 wall_so_far=1211.4s teams=166
tick=1509 dt_us=4230839 wall_so_far=1215.6s teams=166
tick=1519 dt_us=13546972 wall_so_far=1229.2s teams=165
tick=1529 dt_us=3818938 wall_so_far=1233.0s teams=165
tick=1539 dt_us=6397012 wall_so_far=1239.4s teams=165
tick=1549 dt_us=5276176 wall_so_far=1244.7s teams=165
tick=1559 dt_us=1768924 wall_so_far=1246.5s teams=165
tick=1569 dt_us=17924280 wall_so_far=1264.4s teams=165
tick=1579 dt_us=7648549 wall_so_far=1272.0s teams=165
tick=1589 dt_us=2748282 wall_so_far=1274.8s teams=165
