[FAC-SPEC] tick=500 team=0 tile=(21, 9) chose=apothecary | farming=1.24 weaponsmith=0.71 smeltery=0.55 workshop=4.36 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=0 tile=(21, 13) chose=weaponsmith | farming=1.45 weaponsmith=0.71 smeltery=0.55 workshop=4.36 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=3 tile=(1, 16) chose=apothecary | farming=1.32 weaponsmith=4.46 smeltery=3.37 workshop=4.31 | urgency=0.00 ore_iron_nearby=47.0
[FAC-SPEC] tick=500 team=3 tile=(7, 27) chose=apothecary | farming=1.46 weaponsmith=4.46 smeltery=3.37 workshop=4.31 | urgency=0.00 ore_iron_nearby=73.0
[FAC-SPEC] tick=500 team=3 tile=(15, 18) chose=workshop | farming=1.55 weaponsmith=0.74 smeltery=0.56 workshop=4.31 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=3 tile=(26, 3) chose=weaponsmith | farming=1.00 weaponsmith=0.74 smeltery=0.56 workshop=4.31 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=7 tile=(7, 14) chose=apothecary | farming=1.28 weaponsmith=4.22 smeltery=3.38 workshop=4.50 | urgency=0.00 ore_iron_nearby=117.0
[FAC-SPEC] tick=500 team=7 tile=(16, 16) chose=stable | farming=1.39 weaponsmith=4.22 smeltery=3.38 workshop=4.50 | urgency=0.00 ore_iron_nearby=45.7
[FAC-SPEC] tick=500 team=12 tile=(4, 11) chose=apothecary | farming=1.30 weaponsmith=0.70 smeltery=0.56 workshop=4.51 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=12 tile=(14, 20) chose=apothecary | farming=1.05 weaponsmith=0.70 smeltery=0.56 workshop=4.51 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=12 tile=(20, 20) chose=apothecary | farming=1.27 weaponsmith=0.70 smeltery=0.56 workshop=4.51 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=17 tile=(4, 23) chose=stable | farming=1.25 weaponsmith=0.66 smeltery=0.55 workshop=4.47 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=20 tile=(18, 18) chose=weaponsmith | farming=0.99 weaponsmith=0.68 smeltery=0.56 workshop=4.31 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=20 tile=(23, 5) chose=apothecary | farming=1.20 weaponsmith=0.68 smeltery=0.56 workshop=4.31 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=20 tile=(26, 11) chose=weaponsmith | farming=1.27 weaponsmith=0.68 smeltery=0.56 workshop=4.31 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=24 tile=(8, 23) chose=weaponsmith | farming=1.20 weaponsmith=0.80 smeltery=0.59 workshop=4.39 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=29 tile=(15, 5) chose=stable | farming=1.32 weaponsmith=0.51 smeltery=0.50 workshop=4.42 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=31 tile=(13, 25) chose=apothecary | farming=1.31 weaponsmith=0.73 smeltery=0.55 workshop=4.47 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=32 tile=(21, 2) chose=apothecary | farming=1.50 weaponsmith=0.66 smeltery=0.54 workshop=4.47 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=33 tile=(12, 10) chose=apothecary | farming=1.07 weaponsmith=0.71 smeltery=0.55 workshop=4.49 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=34 tile=(10, 25) chose=apothecary | farming=1.16 weaponsmith=4.61 smeltery=3.35 workshop=4.36 | urgency=0.00 ore_iron_nearby=136.0
[FAC-SPEC] tick=500 team=35 tile=(21, 6) chose=apothecary | farming=1.37 weaponsmith=0.72 smeltery=0.55 workshop=4.29 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=36 tile=(18, 23) chose=apothecary | farming=0.98 weaponsmith=0.74 smeltery=0.55 workshop=4.49 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=37 tile=(25, 6) chose=armorsmith | farming=1.18 weaponsmith=0.67 smeltery=0.54 workshop=4.39 | urgency=0.00 ore_iron_nearby=0.0
[FAC-SPEC] tick=500 team=38 tile=(22, 11) chose=workshop | farming=1.24 weaponsmith=4.11 smeltery=3.25 workshop=4.32 | urgency=0.00 ore_iron_nearby=36.0
[FAC-SPEC] tick=500 team=39 tile=(14, 8) chose=armorsmith | farming=1.39 weaponsmith=0.69 smeltery=0.54 workshop=4.43 | urgency=0.00 ore_iron_nearby=0.0
