# S4b 事件瞬醒覆蓋對帳｜cfg=warring_states warm=7200 tick
# actor 母體：person=137 team=67 faction=8 indep=26
#
## ① 死水三欄（A 相 7200 tick 正常跑；三欄互斥、相加 = 該支 fire 次數）
# 支別 | event(純事件提早) | both(事件+本來就到期) | cadence(純週期) | 合計
GOAL|595|25|63|683
order_delivered|STRATEGIC|woken|86|2
order_delivered|ALLIANCE|woken|86|2
order_delivered|BETRAY|woken|86|2
order_delivered|INFRA|woken|86|2
order_delivered|FACTION_UPDATE|woken|86|2
order_delivered|INDEP_INFRA|woken|329|1
order_delivered|INTENT|woken|86|2
outpost_built|GOAL|woken|124|19
outpost_built|LADDER|woken|958|0
outpost_built|STRATEGIC|woken|87|1
outpost_built|ALLIANCE|woken|87|1
outpost_built|BETRAY|woken|87|1
outpost_built|INFRA|woken|87|1
outpost_built|FACTION_UPDATE|woken|87|1
outpost_built|INDEP_INFRA|woken|336|5
outpost_built|INTENT|woken|87|1
split|GOAL|woken|139|4
split|LADDER|woken|965|0
split|STRATEGIC|woken|88|0
split|ALLIANCE|woken|88|0
split|BETRAY|woken|88|0
split|INFRA|woken|88|0
split|FACTION_UPDATE|woken|88|0
split|INDEP_INFRA|woken|340|1
split|INTENT|woken|88|0
replace|GOAL|woken|121|22
replace|LADDER|woken|989|0
replace|STRATEGIC|woken|87|1
replace|ALLIANCE|woken|87|1
replace|BETRAY|woken|87|1
replace|INFRA|woken|87|1
replace|FACTION_UPDATE|woken|87|1
replace|INDEP_INFRA|woken|336|5
replace|INTENT|woken|87|1
combat_engaged|GOAL|woken|122|21
combat_engaged|LADDER|woken|1020|0
combat_engaged|STRATEGIC|woken|88|0
combat_engaged|ALLIANCE|woken|88|0
combat_engaged|BETRAY|woken|88|0
combat_engaged|INFRA|woken|88|0
combat_engaged|FACTION_UPDATE|woken|88|0
combat_engaged|INDEP_INFRA|woken|344|8
combat_engaged|INTENT|woken|88|0
leader_death|GOAL|woken|131|14
leader_death|LADDER|woken|1033|0
leader_death|STRATEGIC|woken|88|0
leader_death|ALLIANCE|woken|88|0
leader_death|BETRAY|woken|88|0
leader_death|INFRA|woken|88|0
leader_death|FACTION_UPDATE|woken|88|0
leader_death|INDEP_INFRA|woken|349|3
leader_death|INTENT|woken|88|0
team_extinct|GOAL|woken|123|18
team_extinct|LADDER|woken|1041|0
team_extinct|STRATEGIC|woken|87|1
team_extinct|ALLIANCE|woken|87|1
team_extinct|BETRAY|woken|87|1
team_extinct|INFRA|woken|87|1
team_extinct|FACTION_UPDATE|woken|87|1
team_extinct|INDEP_INFRA|woken|346|6
team_extinct|INTENT|woken|87|1
teams_erased|GOAL|woken|125|18
teams_erased|LADDER|woken|1054|0
teams_erased|STRATEGIC|woken|88|0
teams_erased|ALLIANCE|woken|88|0
teams_erased|BETRAY|woken|88|0
teams_erased|INFRA|woken|88|0
teams_erased|FACTION_UPDATE|woken|88|0
teams_erased|INDEP_INFRA|woken|349|3
teams_erased|INTENT|woken|87|0
betrayed|GOAL|woken|119|26
betrayed|LADDER|woken|1075|0
betrayed|STRATEGIC|woken|82|6
betrayed|ALLIANCE|woken|82|6
betrayed|BETRAY|woken|82|6
betrayed|INFRA|woken|82|6
betrayed|FACTION_UPDATE|woken|82|6
betrayed|INDEP_INFRA|woken|347|5
betrayed|INTENT|woken|72|6
convoy_stranded|GOAL|woken|132|11
convoy_stranded|LADDER|woken|1080|0
convoy_stranded|STRATEGIC|woken|88|0
convoy_stranded|ALLIANCE|woken|88|0
convoy_stranded|BETRAY|woken|88|0
convoy_stranded|INFRA|woken|88|0
convoy_stranded|FACTION_UPDATE|woken|88|0
convoy_stranded|INDEP_INFRA|woken|351|1
convoy_stranded|INTENT|woken|88|0
construction_stalled|GOAL|woken|132|12
construction_stalled|LADDER|woken|1092|0
construction_stalled|STRATEGIC|woken|88|0
construction_stalled|ALLIANCE|woken|88|0
construction_stalled|BETRAY|woken|88|0
construction_stalled|INFRA|woken|88|0
construction_stalled|FACTION_UPDATE|woken|88|0
construction_stalled|INDEP_INFRA|woken|359|4
construction_stalled|INTENT|woken|88|0
construction_abandoned|GOAL|woken|121|25
construction_abandoned|LADDER|woken|1085|0
construction_abandoned|STRATEGIC|woken|86|2
construction_abandoned|ALLIANCE|woken|86|2
construction_abandoned|BETRAY|woken|86|2
construction_abandoned|INFRA|woken|86|2
construction_abandoned|FACTION_UPDATE|woken|86|2
construction_abandoned|INDEP_INFRA|woken|360|3
construction_abandoned|INTENT|woken|86|2
plan_invalidated|GOAL|woken|132|17
plan_invalidated|LADDER|woken|1074|0
plan_invalidated|STRATEGIC|woken|85|3
plan_invalidated|ALLIANCE|woken|85|3
plan_invalidated|BETRAY|woken|85|3
plan_invalidated|INFRA|woken|85|3
plan_invalidated|FACTION_UPDATE|woken|85|3
plan_invalidated|INDEP_INFRA|woken|357|6
plan_invalidated|INTENT|woken|86|2
rung_changed|GOAL|woken|125|20
rung_changed|LADDER|woken|1069|0
rung_changed|STRATEGIC|woken|87|1
rung_changed|ALLIANCE|woken|87|1
rung_changed|BETRAY|woken|87|1
rung_changed|INFRA|woken|87|1
rung_changed|FACTION_UPDATE|woken|87|1
rung_changed|INDEP_INFRA|woken|355|8
rung_changed|INTENT|woken|87|1
famine_crossed|GOAL|woken|128|20
famine_crossed|LADDER|woken|1072|0
famine_crossed|STRATEGIC|woken|87|1
famine_crossed|ALLIANCE|woken|87|1
famine_crossed|BETRAY|woken|87|1
famine_crossed|INFRA|woken|87|1
famine_crossed|FACTION_UPDATE|woken|87|1
famine_crossed|INDEP_INFRA|woken|358|5
famine_crossed|INTENT|woken|87|1
labor_crisis|GOAL|woken|135|12
labor_crisis|LADDER|woken|1074|0
labor_crisis|STRATEGIC|woken|88|0
labor_crisis|ALLIANCE|woken|88|0
labor_crisis|BETRAY|woken|88|0
labor_crisis|INFRA|woken|88|0
labor_crisis|FACTION_UPDATE|woken|88|0
labor_crisis|INDEP_INFRA|woken|359|4
labor_crisis|INTENT|woken|87|0
intel_arrived|GOAL|woken|139|11
intel_arrived|LADDER|woken|1107|0
intel_arrived|STRATEGIC|woken|87|1
intel_arrived|ALLIANCE|woken|87|1
intel_arrived|BETRAY|woken|87|1
intel_arrived|INFRA|woken|87|1
intel_arrived|FACTION_UPDATE|woken|87|1
intel_arrived|INDEP_INFRA|woken|360|3
intel_arrived|INTENT|woken|76|1
# woken            全=279 核心=217
# 合計               全=279 核心=217
# ★PASS：核心 217 格全部有處置，NOT_WOKEN=0
